City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,cabo san lucas,22.8909,-109.9124,18.2,65,100,3.13,MX,2024-2-10
158,luena,-11.7833,19.9167,24.73,68,49,0.95,AO,2024-2-10
159,richards bay,-28.783,32.0377,25.22,77,96,6.99,ZA,2024-2-10
160,brookings,44.3114,-96.7984,-1.08,93,100,5.66,US,2024-2-10
161,kununurra,-15.7667,128.7333,34.99,49,75,2.57,AU,2024-2-10
162,loushanguan,28.1375,106.82,14.55,37,0,0.77,CN,2024-2-10
163,port alfred,-33.5906,26.891,22.88,71,1,5.36,ZA,2024-2-10
164,dubbo,-32.25,148.6167,26.07,50,20,9.26,AU,2024-2-10
165,archangelos,36.2149,28.1149,15.73,66,12,2.59,GR,2024-2-10
166,kish,26.5578,54.0194,23.15,53,0,2.06,IR,2024-2-10
167,phalodi,27.1333,72.3667,24.66,11,0,3.74,IN,2024-2-10
168,bikenibeu village,1.3673,173.1241,24.98,94,100,1.03,KI,2024-2-10
169,surgut,61.25,73.4167,-11.72,85,75,3.13,RU,2024-2-10
170,undurkhaan,47.3194,110.6556,-7.98,81,100,1.65,MN,2024-2-10
171,wailua homesteads,22.0669,-159.378,22.44,89,100,4.63,US,2024-2-10
172,college,64.8569,-147.8028,-11.01,85,40,0.0,US,2024-2-10
173,verkhnevilyuysk,63.4453,120.3167,-25.31,97,100,1.89,RU,2024-2-10
174,broome,42.2506,-75.833,9.21,80,0,4.63,US,2024-2-10
175,cill airne,52.05,-9.5167,6.81,98,100,2.49,IE,2024-2-10
176,manado,1.487,124.8455,28.79,70,30,4.15,ID,2024-2-10
177,gaigeturi,33.4644,126.3183,8.03,76,100,6.17,KR,2024-2-10
178,sinop,41.7711,34.8709,15.24,69,100,0.58,TR,2024-2-10
179,bogo,11.0517,124.0055,28.23,70,4,4.56,PH,2024-2-10
180,hasaki,35.7333,140.8333,12.38,57,77,2.38,JP,2024-2-10
181,harper,4.375,-7.7169,27.38,83,17,1.79,LR,2024-2-10
182,coquimbo,-29.9533,-71.3436,19.41,80,0,1.26,CL,2024-2-10
183,saint-philippe,-21.3585,55.7679,27.77,90,100,2.56,RE,2024-2-10
184,nova vicosa,-17.8919,-39.3719,22.88,90,12,2.38,BR,2024-2-10
185,talnakh,69.4865,88.3972,-24.99,79,14,2.05,RU,2024-2-10
186,tura,25.5198,90.2201,26.84,23,0,1.39,IN,2024-2-10
187,tranqueras,-31.2,-55.75,23.3,87,96,3.55,UY,2024-2-10
188,kurchatov,51.6601,35.6521,-3.1,91,100,4.89,RU,2024-2-10
189,tolanaro,-25.0319,46.9987,29.08,69,12,8.22,MG,2024-2-10
190,ust-nera,64.5667,143.2,-33.08,100,100,0.48,RU,2024-2-10
191,mejit,10.2753,170.8646,26.16,78,100,10.73,MH,2024-2-10
192,post,33.1909,-101.3782,10.31,33,100,0.47,US,2024-2-10
193,sitka,57.0531,-135.33,5.94,75,100,2.06,US,2024-2-10
194,gaoping,30.7758,106.1029,15.51,45,0,2.27,CN,2024-2-10
195,ephrata,40.1798,-76.1788,8.12,87,0,0.0,US,2024-2-10
196,nago,26.5881,127.9761,17.24,56,0,6.24,JP,2024-2-10
197,omsk,55.0,73.4,-13.06,78,0,8.05,RU,2024-2-10
198,cidreira,-30.1811,-50.2056,24.35,89,43,8.44,BR,2024-2-10
199,pavlovka,52.6897,47.1405,-12.15,89,56,2.62,RU,2024-2-10
200,minas de marcona,-15.2119,-75.1103,19.19,84,99,4.29,PE,2024-2-10
201,afif,23.9065,42.9172,21.09,30,100,8.29,SA,2024-2-10
202,kenai,60.5544,-151.2583,0.03,86,100,2.06,US,2024-2-10
203,namibe,-15.1961,12.1522,25.5,77,97,1.76,AO,2024-2-10
204,alice springs,-23.7,133.8833,35.75,26,75,7.72,AU,2024-2-10
205,porto novo,6.4965,2.6036,28.56,72,5,1.81,BJ,2024-2-10
206,isafjordur,66.0755,-23.124,-6.93,71,98,2.25,IS,2024-2-10
207,maba,24.6841,113.5984,16.7,47,0,1.53,CN,2024-2-10
208,hamilton,39.1834,-84.5333,14.39,89,100,4.63,US,2024-2-10
209,acarau,-2.8856,-40.12,27.78,79,100,7.69,BR,2024-2-10
210,remire-montjoly,4.9167,-52.2667,27.02,83,75,3.6,GF,2024-2-10
211,lorengau,-2.0226,147.2712,28.57,79,100,5.0,PG,2024-2-10
212,vadso,70.0744,29.7487,-12.91,85,100,2.57,NO,2024-2-10
213,valparaiso,-33.0393,-71.6273,12.8,87,0,2.06,CL,2024-2-10
214,sola,-13.8833,167.55,28.17,78,100,10.45,VU,2024-2-10
215,vung tau,10.346,107.0843,28.04,68,6,9.26,VN,2024-2-10
216,pimenta bueno,-11.6725,-61.1936,23.28,95,100,0.7,BR,2024-2-10
217,greymouth,-42.4667,171.2,14.85,64,48,13.31,NZ,2024-2-10
218,ivins,37.1686,-113.6794,3.62,87,100,0.89,US,2024-2-10
219,sao felix do xingu,-6.6447,-51.995,22.83,99,100,1.03,BR,2024-2-10
220,sarangani,5.4033,125.4636,29.08,70,63,2.97,PH,2024-2-10
221,nikolayevsk-on-amure,53.1406,140.73,-18.02,99,99,0.51,RU,2024-2-10
